Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss
2.4539198875427246	0	31.9681528662	17.7690134578	91.0	10.0	31.9681528662	17.7690134578	5019	5019	-0.0108414
4.346459865570068	1	36.5109489051	19.614577027	111.0	10.0	36.5109489051	19.614577027	5002	10021	-0.010805
6.350712060928345	2	37.0	20.2266146952	141.0	12.0	37.0	20.2266146952	5106	15127	-0.00277829
8.263772964477539	3	40.8536585366	21.1862368758	138.0	10.0	40.8536585366	21.1862368758	5025	20152	-0.00428433
10.164958000183105	4	40.8780487805	21.7583122574	120.0	10.0	40.8780487805	21.7583122574	5028	25180	-0.00661704
12.180728912353516	5	43.4568965517	22.3600599289	125.0	12.0	43.4568965517	22.3600599289	5041	30221	-0.00640272
13.909748077392578	6	44.875	24.0698852303	128.0	11.0	44.875	24.0698852303	5026	35247	-0.00465372
15.633419036865234	7	44.389380531	23.3049934367	126.0	13.0	44.389380531	23.3049934367	5016	40263	-0.00579172
17.83981990814209	8	49.3495145631	24.881743117	127.0	15.0	49.3495145631	24.881743117	5083	45346	-0.00449031
19.577522039413452	9	47.8952380952	23.555779317	127.0	12.0	47.8952380952	23.555779317	5029	50375	-0.0106345
21.315629959106445	10	53.2340425532	23.4790198479	120.0	16.0	53.2340425532	23.4790198479	5004	55379	-0.00613533
22.993535041809082	11	54.5869565217	25.5560561077	144.0	17.0	54.5869565217	25.5560561077	5022	60401	-0.00669406
24.693258047103882	12	51.4489795918	24.5764622954	150.0	13.0	51.4489795918	24.5764622954	5042	65443	-0.00361316
26.401766061782837	13	57.0795454545	25.7687361628	152.0	17.0	57.0795454545	25.7687361628	5023	70466	-0.00939002
28.11064100265503	14	61.2804878049	29.4039463049	164.0	17.0	61.2804878049	29.4039463049	5025	75491	-0.00311286
29.807671070098877	15	62.8625	26.794469462	177.0	16.0	62.8625	26.794469462	5029	80520	-0.00511353
31.60734486579895	16	70.3150684932	31.5650564175	184.0	19.0	70.3150684932	31.5650564175	5133	85653	-1.14874e-05
33.357521057128906	17	64.4743589744	25.792925068	144.0	11.0	64.4743589744	25.792925068	5029	90682	-0.00150206
35.097352027893066	18	64.1772151899	32.1266321533	200.0	14.0	64.1772151899	32.1266321533	5070	95752	-0.00167475
36.833296060562134	19	69.0684931507	30.1345515828	134.0	18.0	69.0684931507	30.1345515828	5042	100794	-0.00950016
38.543256998062134	20	76.7727272727	26.9318980948	151.0	21.0	76.7727272727	26.9318980948	5067	105861	-0.00122423
40.30299997329712	21	81.3387096774	36.4744468876	200.0	29.0	81.3387096774	36.4744468876	5043	110904	-0.00262008
42.05114197731018	22	91.9090909091	41.6370781995	200.0	30.0	91.9090909091	41.6370781995	5055	115959	-0.00331384
44.10629606246948	23	78.234375	35.9725338746	200.0	25.0	78.234375	35.9725338746	5007	120966	-0.00687729
45.9848849773407	24	94.4905660377	41.5695019925	200.0	20.0	94.4905660377	41.5695019925	5008	125974	-0.0049889
47.906121015548706	25	93.0909090909	39.5875429109	200.0	27.0	93.0909090909	39.5875429109	5120	131094	-0.00376976
51.12507891654968	26	91.1272727273	37.0434901877	200.0	26.0	91.1272727273	37.0434901877	5012	136106	-0.00214105
53.070674896240234	27	99.7647058824	42.6437997402	200.0	29.0	99.7647058824	42.6437997402	5088	141194	-0.00878218
54.818536043167114	28	114.068181818	51.3107279795	200.0	22.0	114.068181818	51.3107279795	5019	146213	-0.00649477
56.68525505065918	29	130.358974359	56.1926572352	200.0	19.0	130.358974359	56.1926572352	5084	151297	-0.00813487
58.70570492744446	30	142.166666667	44.999691357	200.0	63.0	142.166666667	44.999691357	5118	156415	-0.0130676
60.64613890647888	31	151.882352941	48.6722319107	200.0	25.0	151.882352941	48.6722319107	5164	161579	-0.0046444
62.44770002365112	32	161.483870968	48.3134062526	200.0	37.0	161.483870968	48.3134062526	5006	166585	-0.00457134
64.22875189781189	33	176.482758621	30.4377495766	200.0	101.0	176.482758621	30.4377495766	5118	171703	0.00274558
67.23434090614319	34	154.151515152	41.0152382711	200.0	75.0	154.151515152	41.0152382711	5087	176790	0.00120683
69.52526688575745	35	145.657142857	52.9344299823	200.0	35.0	145.657142857	52.9344299823	5098	181888	-0.00114579
71.91018104553223	36	147.485714286	43.7109802672	200.0	73.0	147.485714286	43.7109802672	5162	187050	-0.00804153
73.65389108657837	37	158.53125	45.9109085451	200.0	37.0	158.53125	45.9109085451	5073	192123	-0.000700881
75.53267407417297	38	141.972222222	49.995269838	200.0	26.0	141.972222222	49.995269838	5111	197234	-0.00793092
77.24389386177063	39	159.3125	41.5620300725	200.0	81.0	159.3125	41.5620300725	5098	202332	-0.00221863
78.9256489276886	40	150.235294118	51.9541986208	200.0	42.0	150.235294118	51.9541986208	5108	207440	-0.00562697
80.59665608406067	41	159.875	48.7241918866	200.0	24.0	159.875	48.7241918866	5116	212556	-0.000716882
82.30731105804443	42	162.125	51.0812771473	200.0	27.0	162.125	51.0812771473	5188	217744	-0.000280513
84.00298404693604	43	180.714285714	31.3549462296	200.0	94.0	180.714285714	31.3549462296	5060	222804	0.00294846
85.7706139087677	44	157.9375	43.1892184897	200.0	74.0	157.9375	43.1892184897	5054	227858	-0.00348838
87.64812588691711	45	165.967741935	47.3943537341	200.0	36.0	165.967741935	47.3943537341	5145	233003	-0.00630296
89.95879793167114	46	167.35483871	42.350723334	200.0	88.0	167.35483871	42.350723334	5188	238191	-0.00867614
