Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss
7.17600107193	0	4.93879565647	2.93230724778	22.0	2.0	4.93879565647	2.93230724778	5003	5003	-1.92638
9.2573530674	1	6.44716494845	4.35798735865	37.0	2.0	6.44716494845	4.35798735865	5003	10006	-1.53415
11.2636098862	2	8.78070175439	6.56139529974	42.0	2.0	8.78070175439	6.56139529974	5005	15011	-1.28335
13.3854780197	3	10.7780172414	7.89343569703	51.0	2.0	10.7780172414	7.89343569703	5001	20012	-0.975967
15.3275699615	4	11.6488372093	8.66910773266	51.0	2.0	11.6488372093	8.66910773266	5009	25021	-0.85695
17.332901001	5	12.604534005	9.37826844302	61.0	2.0	12.604534005	9.37826844302	5004	30025	-0.923482
19.3769659996	6	11.2635135135	7.68351589339	52.0	2.0	11.2635135135	7.68351589339	5001	35026	-0.854414
21.5464580059	7	11.7142857143	8.08953741511	49.0	2.0	11.7142857143	8.08953741511	5002	40028	-0.900427
23.5817530155	8	11.3727272727	8.68944928782	57.0	2.0	11.3727272727	8.68944928782	5004	45032	-0.696696
25.686663866	9	11.2741573034	7.83976507459	52.0	2.0	11.2741573034	7.83976507459	5017	50049	-0.733789
27.6293878555	10	11.495412844	8.33350026486	66.0	2.0	11.495412844	8.33350026486	5012	55061	-0.904839
29.6532979012	11	12.2268292683	8.78967033401	52.0	2.0	12.2268292683	8.78967033401	5013	60074	-1.00762
31.7571818829	12	11.5925925926	8.07893584512	44.0	2.0	11.5925925926	8.07893584512	5008	65082	-1.2701
33.6878318787	13	11.8859857482	9.1145425961	52.0	2.0	11.8859857482	9.1145425961	5004	70086	-0.79232
35.8356480598	14	11.6078886311	8.33836814042	62.0	2.0	11.6078886311	8.33836814042	5003	75089	-0.958901
37.9644799232	15	11.8605200946	8.98524804732	60.0	2.0	11.8605200946	8.98524804732	5017	80106	-1.0957
39.9444069862	16	11.8859857482	9.96556152093	67.0	1.0	11.8859857482	9.96556152093	5004	85110	-1.26519
41.8772509098	17	13.1312335958	9.99441291694	55.0	2.0	13.1312335958	9.99441291694	5003	90113	-1.61314
43.8555099964	18	12.0797101449	10.0364516274	60.0	2.0	12.0797101449	10.0364516274	5001	95114	-1.57606
45.8960430622	19	12.2997542998	9.55205960469	57.0	2.0	12.2997542998	9.55205960469	5006	100120	-1.78716
47.918227911	20	12.8030690537	10.5793598592	63.0	2.0	12.8030690537	10.5793598592	5006	105126	-1.73065
49.9824180603	21	11.0909090909	8.80476497774	59.0	2.0	11.0909090909	8.80476497774	5002	110128	-2.28746
51.9493339062	22	12.3777777778	9.59361927868	51.0	2.0	12.3777777778	9.59361927868	5013	115141	-2.23312
53.8614900112	23	13.0626631854	10.9284996526	76.0	2.0	13.0626631854	10.9284996526	5003	120144	-1.92063
55.7675609589	24	12.9100257069	10.2174117857	58.0	2.0	12.9100257069	10.2174117857	5022	125166	-2.4323
57.8681330681	25	12.648989899	10.0664722031	62.0	2.0	12.648989899	10.0664722031	5009	130175	-2.14293
59.8086960316	26	13.0678851175	11.3793173871	85.0	2.0	13.0678851175	11.3793173871	5005	135180	-1.71262
61.6332540512	27	14.1327683616	10.9462941498	57.0	2.0	14.1327683616	10.9462941498	5003	140183	-2.22616
63.4919998646	28	14.3581661891	10.8361367769	49.0	2.0	14.3581661891	10.8361367769	5011	145194	-2.85652
65.4341650009	29	14.7588235294	11.9361319394	63.0	2.0	14.7588235294	11.9361319394	5018	150212	-2.44189
67.4652240276	30	14.4285714286	11.0796743487	66.0	2.0	14.4285714286	11.0796743487	5050	155262	-2.92656
69.2995369434	31	14.5918367347	11.8083403275	80.0	2.0	14.5918367347	11.8083403275	5005	160267	-2.43512
71.1396439075	32	14.8664688427	12.6668087852	65.0	2.0	14.8664688427	12.6668087852	5010	165277	-2.95706
73.0184788704	33	15.4475308642	11.7247374901	75.0	1.0	15.4475308642	11.7247374901	5005	170282	-2.94081
75.1501338482	34	15.3711656442	12.3469885249	75.0	1.0	15.3711656442	12.3469885249	5011	175293	-2.61919
77.2695660591	35	15.3496932515	11.6863581223	67.0	1.0	15.3496932515	11.6863581223	5004	180297	-3.26124
79.3837120533	36	15.063253012	12.5659311459	73.0	2.0	15.063253012	12.5659311459	5001	185298	-4.1133
81.5742089748	37	15.2036474164	12.4672648108	90.0	1.0	15.2036474164	12.4672648108	5002	190300	-3.37286
83.5789749622	38	15.2896341463	11.8449696995	57.0	1.0	15.2896341463	11.8449696995	5015	195315	-4.26161
85.5096380711	39	15.5825545171	12.2784493609	59.0	2.0	15.5825545171	12.2784493609	5002	200317	-3.48069
87.4939630032	40	13.3005319149	10.7000994097	70.0	1.0	13.3005319149	10.7000994097	5001	205318	-3.02298
89.4238059521	41	12.55	10.4066084773	59.0	1.0	12.55	10.4066084773	5020	210338	-3.73199
91.4487040043	42	13.418230563	11.1100703096	65.0	2.0	13.418230563	11.1100703096	5005	215343	-5.09482
93.5508699417	43	15.5825545171	12.3951128829	67.0	2.0	15.5825545171	12.3951128829	5002	220345	-5.06156
