Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss
7.21532583237	0	14.9343283582	6.05658768612	42.0	6.0	14.9343283582	6.05658768612	5003	5003	-0.00892679
9.05672693253	1	18.5535055351	5.66824981603	55.0	10.0	18.5535055351	5.66824981603	5028	10031	-0.00575304
11.0612587929	2	39.873015873	10.465350332	75.0	22.0	39.873015873	10.465350332	5024	15055	-0.00102424
13.2105100155	3	38.2748091603	10.5837650663	80.0	21.0	38.2748091603	10.5837650663	5014	20069	0.000119088
15.2705149651	4	35.8142857143	9.05032415701	91.0	24.0	35.8142857143	9.05032415701	5014	25083	-0.000237604
17.3219759464	5	43.3362068966	12.0157540019	91.0	25.0	43.3362068966	12.0157540019	5027	30110	-0.00113038
19.3895409107	6	52.40625	17.067621713	154.0	33.0	52.40625	17.067621713	5031	35141	-0.00103145
21.4631049633	7	51.9587628866	16.956534808	98.0	22.0	51.9587628866	16.956534808	5040	40181	-0.000184221
23.5036158562	8	43.3189655172	14.2481693548	89.0	22.0	43.3189655172	14.2481693548	5025	45206	-0.000403679
25.4544568062	9	45.0265486726	16.2554062767	119.0	22.0	45.0265486726	16.2554062767	5088	50294	-0.0010229
27.4163777828	10	47.3679245283	13.8273215129	91.0	20.0	47.3679245283	13.8273215129	5021	55315	-0.00109548
29.3611578941	11	54.75	16.5494154632	121.0	21.0	54.75	16.5494154632	5037	60352	-0.000860273
31.1406178474	12	57.7356321839	11.4505029455	86.0	35.0	57.7356321839	11.4505029455	5023	65375	-0.000277467
32.9352469444	13	56.8977272727	12.4663545126	104.0	36.0	56.8977272727	12.4663545126	5007	70382	-0.000306342
34.8491289616	14	59.8571428571	15.1234151922	113.0	39.0	59.8571428571	15.1234151922	5028	75410	-0.000570528
36.6602778435	15	63.3544303797	15.3499581286	111.0	41.0	63.3544303797	15.3499581286	5005	80415	-0.00013154
38.4730408192	16	69.9444444444	19.6828244987	130.0	38.0	69.9444444444	19.6828244987	5036	85451	-0.000862838
40.415282011	17	77.5692307692	18.4457368273	134.0	50.0	77.5692307692	18.4457368273	5042	90493	-0.000172607
42.177934885	18	85.1016949153	27.1659650693	194.0	47.0	85.1016949153	27.1659650693	5021	95514	-0.00122857
44.0208008289	19	117.930232558	33.0900078706	209.0	58.0	117.930232558	33.0900078706	5071	100585	-0.00031934
46.1129198074	20	137.594594595	37.2387907745	239.0	87.0	137.594594595	37.2387907745	5091	105676	-0.000949808
47.9987130165	21	178.821428571	51.1426950317	363.0	95.0	178.821428571	51.1426950317	5007	110683	-0.000477334
49.8774487972	22	254.761904762	81.6915830378	460.0	132.0	254.761904762	81.6915830378	5350	116033	-0.000598692
52.2176668644	23	997.0	6.7082039325	1000.0	982.0	997.0	6.7082039325	5982	122015	-0.000157641
54.2049219608	24	788.142857143	152.054904155	1000.0	508.0	788.142857143	152.054904155	5517	127532	3.61381e-05
56.2598068714	25	494.818181818	187.092985235	897.0	301.0	494.818181818	187.092985235	5443	132975	-0.000239007
58.0417759418	26	461.454545455	186.641787992	855.0	248.0	461.454545455	186.641787992	5076	138051	-1.61203e-05
60.0667388439	27	538.5	142.346935338	837.0	366.0	538.5	142.346935338	5385	143436	-0.000194018
62.0388798714	28	778.0	195.293186188	1000.0	538.0	778.0	195.293186188	5446	148882	-0.000145791
64.3114888668	29	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	154882	-6.19013e-05
66.7909297943	30	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	160882	-0.000101095
68.8661899567	31	783.0	317.619718711	1000.0	258.0	783.0	317.619718711	5481	166363	-0.000152772
70.8605878353	32	319.176470588	146.950666109	650.0	105.0	319.176470588	146.950666109	5426	171789	-2.36635e-05
73.071310997	33	482.25	182.780435222	896.0	219.0	482.25	182.780435222	5787	177576	-0.000166617
75.0019638538	34	734.0	222.539242125	1000.0	318.0	734.0	222.539242125	5138	182714	-6.37197e-05
77.26740098	35	794.857142857	249.283217343	1000.0	359.0	794.857142857	249.283217343	5564	188278	-8.31315e-05
